Artikelnummer,Produktname,Preis_1,Preis_2,Ab_Menge_2,Preis_3,Ab_Menge_3,Preis_4,Ab_Menge_4
8381-LSH,5 kg  Papiertragetasche Kartoffeln lang,39.73,38.08,,36.95,,30.65,
8381-OSH,5 kg  Papiertragetasche Kartoffeln NEU,39.73,38.08,,29.93,,25.18,
8397-RESH,5 kg  Papiertragetasche Kartoffeln Regional,39.73,38.08,,36.95,,33.95,
8394-E,"Papiertragetasche  "" Erdbeeren """,40.14,36.33,,35.04,,33.95,
8408-SH,"Papiertragetasche ""Apfel - Aus der Region""",40.14,36.33,,35.04,,33.95,
8355-SH,Die gute günstige Allround - Papiertragetasche,41.18,36.02,,33.54,,30.19,
8395-SH,"Papiertragetasche 26+12x35 cm braun, unbedruckt",41.18,39.11,,36.84,,32.82,
8376-SH,"1,5 kg Papiertüte für Kartoffeln ""Happy Potatoe""",41.66,20.59,,18.83,,18.11,
8404-SH,Blockbodenbeutel,44.61,43.62,,42.54,,,
8225,Thermobox schwarz für 2 Stück 40 x 30 Kisten,45.04,43.17,,41.85,,39.86,
1485-SH,Spargeleinschlagpapier,46.06,44.38,,42.83,,41.28,
8380-N,"2,5 kg Papiertüte für Kartoffeln, neutral ohne Bes",46.35,44.0,,42.25,,40.5,
8361-SH,"LDPE-Hemdchentragetaschen, transparent, gelocht",46.65,46.34,,44.17,,43.24,
8374-SH,"Bodenbeutel 2,5 kg",46.8,45.05,,43.19,,41.43,
8335,Hemdchentragetasche Obst & Gemüse,47.1,45.9,,44.68,,43.48,
8349,"Hemdchentragetaschen neutral bedruckt ""Die kleine ",47.1,45.77,,43.35,,41.07,
8377-SH,"2,5 kg Papiertüte für Kartoffeln ""Happy Potatoe""",47.43,25.75,,23.63,,21.14,
8340-SH,"HDPE Hemdchentragetasche extrastark, weiß",47.68,41.07,,38.18,,36.95,
8388-SH,"Papiertragetasche ""Obst & Gemüse""",47.83,44.03,,41.18,,,
7045,"Fingerlinge, 2,0 mm stark, mit Rollrand",47.95,45.53,,42.39,,37.44,
